dataset,branch_length,pi.a,pi.c,pi.g,pi.t,sigma.ac,sigma.ag,sigma.at,sigma.cg,sigma.ct,sigma.gt,omega,rho.phase0,rho.phase1,rho.phase2,avg_gap_length
01_FcaCaf,0.199306817156129,0.260470499483753,0.254043345326165,0.266648080334141,0.218838074855941,0.774506098719743,2.49807522237704,0.47479429704504,0.933055180506161,2.60605738975569,0.687165794559422,0.156933125747674,0.0035841194857617028,0.0023789135744681383,0.00240175406104462,10.5507432744532
02_MusRat,0.172935870209269,0.262076990840512,0.252291967088697,0.264707545191403,0.220923496879389,0.822188056858982,2.5012956718004,0.593308244757993,0.701048968074173,2.65222315110867,0.73725333150843,0.150836812190265,0.002477794935850926,0.0018033937581318357,0.0018574672358640117,8.76411200844347
04_Gallus,0.0919559118452307,0.282949064028419,0.228924984707443,0.255002242541504,0.233123708722634,0.580796406891547,2.77319774125025,0.519804202999839,0.706482553960522,2.9191418785367,0.520938753993828,0.152034628417957,0.0077714526883320804,0.003251022036867442,0.0030807905633967727,11.6292209676345
05_Droso,0.0444385587371,0.256758483667625,0.262725712291187,0.270224137255176,0.210291666786012,1.00226692486566,1.91651782653389,1.16693155161903,0.788320549072614,2.16747899624403,1.06803869657726,0.120791570028344,0.0041672960282941734,0.001908613790936476,0.002436730570474456,9.477863873801
06_Nematode,1.14464838772683,0.310313926399251,0.20523137071398,0.2193715667314,0.26508313615537,1.13243809053528,1.94092255744575,0.922285415773817,1.1968685049144001,2.04614161459107,0.940373298985859,0.066157791577538,0.002728326979050423,0.0019050831316826506,0.0022503725734547555,12.1229421764833
07_yeast,0.342802353864595,0.338657324793783,0.176060920877653,0.204616412189156,0.280665342139408,0.634798211641483,2.89772334967941,0.458010903977339,1.03994802625044,3.03640870548617,0.527851782223797,0.117170397645535,7.983271985024144e-4,5.559865999871051e-4,6.826312031563278e-4,8.23413310118999
08_Arab,0.131299485646488,0.296187025262721,0.191884831462309,0.236772717322211,0.275155425952759,1.08694459514572,1.98113422089934,0.888182336138544,1.15353976219274,2.15638486434632,0.930834419032438,0.209039263708722,0.007546398085278249,0.005366630185892334,0.006050897990289452,8.63820096397257
09_SarMon,0.291140604631424,0.28462521068845,0.229372422247158,0.245536301174472,0.24046606588992,0.875107365109444,2.40673155972711,0.659986817401267,0.863626044765487,2.51136589607502,0.717176888965006,0.144662873059788,0.003436611583991684,0.002407927741614447,0.0025051317852185866,11.2631154686555
10_ants,0.433532210806041,0.31534482656855,0.198778299068178,0.234891762165841,0.250985112197431,0.473115099187096,2.97597038461574,0.488558990367791,0.502944265846284,3.30628228401812,0.38682154296083,0.146521935627685,0.004482755065525548,0.00367728324818374,0.0040519527120238315,8.13425143427114
11_malaria,0.494630679882345,0.341270446028607,0.189911291770967,0.241873066658174,0.226945195542251,0.964506205942096,2.12542998438592,0.47511865016408,1.48574734101576,2.53653284169931,0.868608300905167,0.218520997414096,0.0030306902201910264,0.0028100984356866972,0.0029394652867460683,12.5245967932822
12_fugu,0.337235162046782,0.249769653613969,0.26910119172382,0.274740535738416,0.206388618923795,0.888769198823476,2.17275891063752,0.709999240780282,1.0758207865486,2.32677727574531,0.807667480371329,0.133952027523424,0.004685994442540534,0.003074547118540012,0.003257376854939042,11.7283187372815
13_Phytophthora,0.525977782873957,0.248678440013286,0.251327414550848,0.279017342109145,0.220976803326721,0.840324037027436,2.26433249544679,0.998360244566332,0.720532687646383,2.43226578527468,0.809270862960923,0.101498463436854,0.0022613546174844994,0.0017766936501545966,0.001963625531703921,10.5592936084512
14_Fusarium,0.121483713386171,0.260535132622757,0.258450668234136,0.245934471543337,0.23507972759977,0.73249838340191,2.67063577398021,0.4825887916978,0.569699228593703,2.89854468257632,0.651803348751996,0.132789038278881,0.0025134483906422964,0.0015233621675787886,0.0016805550214432532,12.2006933068409
15_Oryza,0.00811077815176441,0.238406544142777,0.256719949013397,0.283859191048353,0.221014315795474,0.786494120907957,2.43188816996372,0.628705369306207,0.746721121818237,2.58715472167961,0.844059578289605,0.377439036506723,0.04378447358268883,0.016207690496224794,0.017086530904276826,9.91915167118311
16_Solanum,0.093496022863221,0.307466075904285,0.177271469481761,0.228601587552607,0.286660867061348,0.991899419640433,2.17730462028917,0.784160762668722,1.25657456466014,2.41449254733771,0.76553267437749,0.242701776158597,0.008778975937333757,0.0059332271720825116,0.0067057104156883545,9.75900347961763
